home_loc_cd,trv_idx,age_cd,loc_type,home_loc_nm,sex_cd,yw,id_cnt,date
11,0.1367126759598589,20,sido,서울특별시,2,202208,291970,2022-02-19T00:00:00+09:00
11,0.1148921120026778,30,sido,서울특별시,2,202208,316671,2022-02-19T00:00:00+09:00
11,0.0745326839931208,60,sido,서울특별시,2,202208,311085,2022-02-19T00:00:00+09:00
11,0.1000953704800314,10,sido,서울특별시,2,202208,160427,2022-02-19T00:00:00+09:00
11,0.0367521230828282,70,sido,서울특별시,2,202208,187581,2022-02-19T00:00:00+09:00
11,0.0997116972271461,50,sido,서울특별시,2,202208,345817,2022-02-19T00:00:00+09:00
11,0.1163050604994933,40,sido,서울특별시,1,202211,335540,2022-03-12T00:00:00+09:00
11,0.1071104872406493,30,sido,서울특별시,1,202211,305619,2022-03-12T00:00:00+09:00
11,0.129585564751704,50,sido,서울특별시,1,202211,328640,2022-03-12T00:00:00+09:00
11,0.1091203076519687,60,sido,서울특별시,1,202211,274596,2022-03-12T00:00:00+09:00
11,0.031630568042501,0,sido,서울특별시,1,202211,24470,2022-03-12T00:00:00+09:00
11,0.0848066678461205,20,sido,서울특별시,1,202211,254355,2022-03-12T00:00:00+09:00
11,0.0322472162020775,10,sido,서울특별시,1,202211,160572,2022-03-12T00:00:00+09:00
11,0.0533698235338551,70,sido,서울특별시,1,202211,172101,2022-03-12T00:00:00+09:00
11,0.0318987889273356,0,sido,서울특별시,2,202211,27744,2022-03-12T00:00:00+09:00
11,0.0653809218950064,60,sido,서울특별시,2,202211,312400,2022-03-12T00:00:00+09:00
11,0.0807207040510691,50,sido,서울특별시,2,202211,345884,2022-03-12T00:00:00+09:00
11,0.0326083513698991,70,sido,서울특별시,2,202211,189430,2022-03-12T00:00:00+09:00
11,0.078021876659913,30,sido,서울특별시,2,202211,314399,2022-03-12T00:00:00+09:00
11,0.0597750824725023,40,sido,서울특별시,2,202211,364667,2022-03-12T00:00:00+09:00
11,0.0868625462071031,20,sido,서울특별시,2,202211,293786,2022-03-12T00:00:00+09:00
11,0.0328092877010521,10,sido,서울특별시,2,202211,165380,2022-03-12T00:00:00+09:00
11,0.117387706550128,30,sido,서울특별시,1,202201,309368,2022-01-01T00:00:00+09:00
11,0.1242714790304407,50,sido,서울특별시,1,202201,329263,2022-01-01T00:00:00+09:00
11,0.043198459252996,70,sido,서울특별시,1,202201,170307,2022-01-01T00:00:00+09:00
11,0.1260584928485021,40,sido,서울특별시,1,202201,337272,2022-01-01T00:00:00+09:00
11,0.1252210092462853,20,sido,서울특별시,1,202201,256211,2022-01-01T00:00:00+09:00
11,0.0943212132285766,60,sido,서울특별시,1,202201,273650,2022-01-01T00:00:00+09:00
11,0.0834002247551774,0,sido,서울특별시,1,202201,24916,2022-01-01T00:00:00+09:00
11,0.0924041256621413,10,sido,서울특별시,1,202201,160653,2022-01-01T00:00:00+09:00
11,0.0828526027465019,10,sido,서울특별시,2,202201,161733,2022-01-01T00:00:00+09:00
11,0.0880047232302286,50,sido,서울특별시,2,202201,347220,2022-01-01T00:00:00+09:00
11,0.1005735405776821,30,sido,서울특별시,2,202201,318722,2022-01-01T00:00:00+09:00
11,0.1258449644225506,20,sido,서울특별시,2,202201,292320,2022-01-01T00:00:00+09:00
11,0.0628036420964576,60,sido,서울특별시,2,202201,310810,2022-01-01T00:00:00+09:00
11,0.0309552625545822,70,sido,서울특별시,2,202201,187561,2022-01-01T00:00:00+09:00
11,0.0927562199382171,40,sido,서울특별시,2,202201,366121,2022-01-01T00:00:00+09:00
11,0.082753286929621,0,sido,서울특별시,2,202201,28446,2022-01-01T00:00:00+09:00
11,0.0445715988675309,70,sido,서울특별시,1,202202,167775,2022-01-08T00:00:00+09:00
11,0.0944433053106417,0,sido,서울특별시,1,202202,24385,2022-01-08T00:00:00+09:00
11,0.1321277482261414,50,sido,서울특별시,1,202202,328803,2022-01-08T00:00:00+09:00
11,0.1280080370076164,20,sido,서울특별시,1,202202,256812,2022-01-08T00:00:00+09:00
11,0.0985887096774193,60,sido,서울특별시,1,202202,272800,2022-01-08T00:00:00+09:00
11,0.1005930155941137,10,sido,서울특별시,1,202202,159355,2022-01-08T00:00:00+09:00
11,0.1396378233825683,40,sido,서울특별시,1,202202,337294,2022-01-08T00:00:00+09:00
11,0.125390158001874,30,sido,서울특별시,1,202202,309490,2022-01-08T00:00:00+09:00
11,0.0949855964346124,50,sido,서울특별시,2,202202,346442,2022-01-08T00:00:00+09:00
11,0.0345953858253954,70,sido,서울특별시,2,202202,183088,2022-01-08T00:00:00+09:00
11,0.100724459389267,40,sido,서울특별시,2,202202,365790,2022-01-08T00:00:00+09:00
11,0.0960712752254186,0,sido,서울특별시,2,202202,27948,2022-01-08T00:00:00+09:00
11,0.0669996443927197,60,sido,서울특별시,2,202202,309330,2022-01-08T00:00:00+09:00
11,0.1286343672376253,20,sido,서울특별시,2,202202,293483,2022-01-08T00:00:00+09:00
11,0.0894189443131709,10,sido,서울특별시,2,202202,161241,2022-01-08T00:00:00+09:00
11,0.1049268470186709,30,sido,서울특별시,2,202202,318784,2022-01-08T00:00:00+09:00
11,0.1199157716754861,20,sido,서울특별시,1,202209,255496,2022-02-26T00:00:00+09:00
11,0.056612825843595,0,sido,서울특별시,1,202209,25012,2022-02-26T00:00:00+09:00
11,0.0530977973868456,70,sido,서울특별시,1,202209,176109,2022-02-26T00:00:00+09:00
11,0.1473618246383085,50,sido,서울특별시,1,202209,330323,2022-02-26T00:00:00+09:00
11,0.0701560609351245,10,sido,서울특별시,1,202209,161155,2022-02-26T00:00:00+09:00
11,0.1262374223203153,30,sido,서울특별시,1,202209,307191,2022-02-26T00:00:00+09:00
11,0.1134536920021664,60,sido,서울특별시,1,202209,276950,2022-02-26T00:00:00+09:00
11,0.1370084582282237,40,sido,서울특별시,1,202209,336950,2022-02-26T00:00:00+09:00
11,0.0691091115683444,10,sido,서울특별시,2,202209,162815,2022-02-26T00:00:00+09:00
11,0.1054786551242245,30,sido,서울특별시,2,202209,316282,2022-02-26T00:00:00+09:00
11,0.0862389630677551,40,sido,서울특별시,2,202209,366157,2022-02-26T00:00:00+09:00
11,0.0731703454544878,60,sido,서울특별시,2,202209,315729,2022-02-26T00:00:00+09:00
11,0.124517631631071,20,sido,서울특별시,2,202209,292826,2022-02-26T00:00:00+09:00
11,0.0947267111972994,50,sido,서울특별시,2,202209,348075,2022-02-26T00:00:00+09:00
11,0.0350351015236207,70,sido,서울특별시,2,202209,195718,2022-02-26T00:00:00+09:00
11,0.0588854206853014,0,sido,서울특별시,2,202209,28513,2022-02-26T00:00:00+09:00
